station_uuid,diesel,e5,e10,last_update
00060395-0001-4444-8888-acdc00000001,2.089,1.999,1.979,2026-03-11T14:10:41+01:00
00060401-3125-4444-8888-acdc00000001,2.089,1.999,1.939,2026-03-12T11:56:46+01:00
00060421-0001-4444-8888-acdc00000001,2.159,2.099,2.039,2026-03-12T09:17:18+01:00
00060437-0001-4444-8888-acdc00000001,2.129,2.069,2.009,2026-03-12T05:45:53+01:00
00060438-ab8e-4444-8888-acdc00000001,2.069,1.989,1.939,2026-03-12T11:53:43+01:00
00060441-0001-4444-8888-acdc00000001,2.069,1.969,1.949,2026-03-11T05:03:58+01:00
00060445-2e01-4444-8888-acdc00000001,2.049,2.019,1.969,2026-03-12T11:29:20+01:00
00060446-0001-4444-8888-acdc00000001,2.069,1.969,1.949,2026-03-11T21:14:56+01:00
00060453-0001-4444-8888-acdc00000001,2.069,2.029,1.969,2026-03-12T11:44:31+01:00
00060471-0001-4444-8888-acdc00000001,2.089,1.999,1.969,2026-03-12T07:24:27+01:00
00060472-0003-4444-8888-acdc00000003,2.089,1.999,1.969,2026-03-12T07:16:22+01:00
00060476-9664-4444-8888-acdc00000001,2.139,2.099,2.079,2026-03-11T18:12:23+01:00
00060478-0001-4444-8888-acdc00000001,2.049,1.999,1.959,2026-03-11T17:29:40+01:00
00060494-0001-4444-8888-acdc00000001,2.075,1.985,1.925,2026-03-12T10:07:10+01:00
00060511-7d46-4444-8888-acdc00000001,2.099,2.039,1.999,2026-03-12T11:22:13+01:00
00060514-0001-4444-8888-acdc00000001,2.129,2.089,2.049,2026-03-12T09:01:59+01:00
00060544-98c5-4444-8888-acdc00000001,2.109,2.049,1.989,2026-03-12T11:47:34+01:00
00060545-18e2-4444-8888-acdc00000001,2.099,1.999,1.959,2026-03-11T12:56:36+01:00
00060547-15c9-4444-8888-acdc00000002,2.059,1.979,1.919,2026-03-12T11:47:34+01:00
00060548-0002-4444-8888-acdc00000002,2.119,2.049,1.989,2026-03-12T11:47:34+01:00
00060550-0003-4444-8888-acdc00000003,2.009,1.909,1.849,2026-03-12T10:19:20+01:00
00060551-95cd-4444-8888-acdc00000003,2.039,1.979,1.919,2026-03-12T11:49:35+01:00
00060558-0005-4444-8888-acdc00000005,2.089,1.999,1.969,2026-03-12T07:45:44+01:00
00060562-0001-4444-8888-acdc00000001,2.097,2.017,1.957,2026-03-12T11:47:34+01:00
00060566-0001-4444-8888-acdc00000001,2.080,2.000,1.940,2026-03-12T09:49:52+01:00
00060569-0011-4444-8888-acdcffffffff,2.139,2.049,1.989,2026-03-09T14:09:21+01:00
00060570-0001-4444-8888-acdc00000001,2.149,2.059,1.999,2026-03-11T16:15:39+01:00
00060584-0002-4444-8888-acdc00000002,2.079,1.969,1.909,2026-03-12T10:19:20+01:00
00060585-0003-4444-8888-acdc00000003,2.089,1.979,1.919,2026-03-12T10:19:20+01:00
00060588-0001-4444-8888-acdc00000001,2.099,2.029,1.969,2026-03-12T08:30:27+01:00
00060592-0001-4444-8888-acdc00000001,2.119,2.019,1.959,2026-03-12T11:58:47+01:00
00060594-0001-4444-8888-acdc00000001,2.109,2.029,2.009,2026-03-12T11:22:13+01:00
00060595-0001-4444-8888-acdc00000001,2.099,2.009,1.949,2026-03-12T11:36:25+01:00
00060597-0001-4444-8888-acdc00000001,2.069,2.019,1.959,2026-03-11T11:18:11+01:00
00060598-0001-4444-8888-acdc00000001,2.099,1.999,1.939,2026-03-11T18:08:21+01:00
00060599-0002-4444-8888-acdc00000002,2.119,2.009,1.949,2026-03-12T11:32:22+01:00
00060601-0001-4444-8888-acdc00000001,2.059,1.979,1.939,2026-03-11T11:49:39+01:00
00060609-4fc3-4444-8888-acdc00000001,2.109,2.009,1.949,2026-03-12T08:38:35+01:00
00060613-0004-4444-8888-acdc00000004,2.109,2.089,2.029,2026-03-12T11:46:33+01:00
00060632-708f-4444-8888-acdc00000001,2.149,2.069,2.029,2026-03-11T19:28:31+01:00
00060636-0067-4444-8888-acdc00000067,2.159,2.069,2.009,2026-03-12T11:55:45+01:00
00060644-0001-4444-8888-acdc00000001,2.099,2.019,1.959,2026-03-12T10:29:29+01:00
00060664-0001-4444-8888-acdc00000001,2.099,2.019,1.959,2026-03-12T10:23:23+01:00
00060671-0066-4444-8888-acdc00000066,2.079,2.049,1.989,2026-03-12T11:51:41+01:00
00060672-0065-4444-8888-acdc00000065,2.169,2.029,1.969,2026-03-12T11:31:21+01:00
00060690-0001-4444-8888-acdc00000001,2.159,2.039,1.979,2026-03-12T10:55:49+01:00
00060691-0002-4444-8888-acdc00000002,1.979,1.969,1.909,2026-03-12T11:53:43+01:00
00060692-0003-4444-8888-acdc00000003,2.099,2.039,1.979,2026-03-12T11:10:01+01:00
00060696-0002-4444-8888-acdc00000002,2.089,2.029,1.969,2026-03-12T11:04:57+01:00
00060697-0001-4444-8888-acdc00000001,2.099,2.039,1.979,2026-03-12T08:57:56+01:00
00060699-e40a-4444-8888-acdc00000001,2.089,1.999,1.979,2026-03-10T10:19:52+01:00
00060710-0001-4444-8888-acdc00000001,2.069,1.989,1.949,2026-03-12T11:18:10+01:00
00060711-0001-4444-8888-acdc00000001,2.094,2.024,1.964,2026-03-12T11:50:37+01:00
00060723-0001-4444-8888-acdc00000001,2.129,2.029,1.979,2026-03-11T14:19:51+01:00
00060728-0003-4444-8888-acdc00000003,2.124,2.044,1.984,2026-03-12T09:55:56+01:00
00060731-1059-4444-8888-acdc00000001,2.089,2.029,1.969,2026-03-12T11:59:48+01:00
00060736-0591-4444-8888-acdc00000591,2.119,2.069,2.029,2026-03-12T10:17:18+01:00
00060740-0542-4444-8888-acdc00000542,2.119,2.069,2.029,2026-03-12T10:17:18+01:00
00060741-0593-4444-8888-acdc00000593,2.059,1.999,1.959,2026-03-12T09:03:00+01:00
00060742-0570-4444-8888-acdc00000570,2.149,2.059,1.999,2026-03-12T11:54:44+01:00
00060743-0560-4444-8888-acdc00000560,2.139,2.059,1.999,2026-03-12T11:18:10+01:00
00060744-0595-4444-8888-acdc00000595,2.119,2.069,2.029,2026-03-12T10:18:19+01:00
00060745-0580-4444-8888-acdc00000580,2.139,2.049,1.989,2026-03-12T11:48:35+01:00
00060746-0594-4444-8888-acdc00000594,2.119,2.069,2.029,2026-03-12T10:18:19+01:00
00060752-0001-4444-8888-acdc00000001,2.079,1.999,1.949,2026-03-11T19:12:18+01:00
00060754-0001-4444-8888-acdc00000001,2.089,1.999,1.939,2026-03-12T11:12:04+01:00
00060755-0001-4444-8888-acdc00000001,2.079,1.999,1.979,2026-03-12T09:36:34+01:00
00060763-d89e-4444-8888-acdc00000001,2.109,2.009,1.959,2026-03-11T14:14:47+01:00
00060769-0077-4444-8888-acdc00000077,2.179,2.029,1.969,2026-03-12T11:31:21+01:00
00060779-739f-4444-8888-acdc00000001,2.079,1.969,1.929,2026-03-12T10:52:47+01:00
00060780-0001-4444-8888-acdc00000001,2.129,2.059,1.999,2026-03-12T07:17:23+01:00
00060787-0001-4444-8888-acdc00000001,2.129,2.049,1.989,2026-03-12T08:01:56+01:00
00060788-0004-4444-8888-acdc00000004,2.104,2.074,2.014,2026-03-12T08:21:19+01:00
00060804-0001-4444-8888-acdc00000001,2.129,2.009,1.979,2026-03-12T11:35:25+01:00
00060807-0001-4444-8888-acdc00000001,2.069,2.009,1.949,2026-03-12T11:52:42+01:00
00060841-0592-4444-8888-acdc00000592,2.119,2.069,2.029,2026-03-12T10:18:19+01:00
00060861-0006-4444-8888-acdc00000006,2.089,1.999,1.969,2026-03-12T07:43:42+01:00
00060877-0071-4444-8888-acdc00000071,2.159,2.039,1.979,2026-03-12T11:29:20+01:00
00060895-afd9-4444-8888-acdc00000001,2.113,2.043,1.983,2026-03-12T11:59:48+01:00
00060897-0026-4444-8888-acdc00000026,2.159,2.049,1.989,2026-03-12T11:55:45+01:00
00060898-0001-4444-8888-acdc00000001,2.119,2.039,1.979,2026-03-12T11:49:35+01:00
00060900-7792-4444-8888-acdc00000001,2.094,2.054,2.034,2026-03-12T07:32:33+01:00
00060909-b59e-4444-8888-acdc00000609,2.119,2.089,2.029,2026-03-12T09:11:13+01:00
00060915-0002-4444-8888-acdc00000002,2.109,2.039,1.979,2026-03-12T08:17:16+01:00
00060936-0001-4444-8888-acdc00000001,2.119,2.049,1.999,2026-03-12T10:35:33+01:00
00060939-b16c-4444-8888-acdc00000001,2.089,2.039,1.979,2026-03-11T08:45:07+01:00
00060946-0002-4444-8888-acdc00000002,2.159,2.109,2.049,2026-03-12T11:37:26+01:00
00060947-0001-4444-8888-acdc00000001,2.159,2.109,2.049,2026-03-12T11:41:28+01:00
00060971-0044-4444-8888-acdcffffffff,2.149,2.049,1.989,2026-03-09T14:15:27+01:00
00060974-0001-4444-8888-acdc00000001,2.169,2.059,1.999,2026-03-09T08:31:11+01:00
00060988-0064-4444-8888-acdc00000064,2.094,2.099,2.039,2026-03-12T11:31:21+01:00
00060989-0543-4444-8888-acdc00000543,2.119,2.039,1.999,2026-03-12T10:00:59+01:00
00060995-0006-4444-8888-acdc00000006,2.119,2.029,1.969,2026-03-12T11:47:34+01:00
00061000-0001-4444-8888-acdc00000001,2.099,1.999,1.939,2026-03-12T08:53:53+01:00
00061002-0548-4444-8888-acdc00000548,2.119,2.039,1.999,2026-03-12T10:00:59+01:00
00061016-0008-4444-8888-acdc00000008,2.089,1.999,1.969,2026-03-12T07:20:24+01:00
00061017-0007-4444-8888-acdc00000007,2.089,1.999,1.969,2026-03-12T07:17:23+01:00
00061092-0556-4444-8888-acdc00000556,2.109,2.039,1.979,2026-03-12T11:53:43+01:00
00061111-0009-4444-8888-acdcffffffff,2.149,2.069,2.009,2026-03-09T14:36:46+01:00
00061120-0001-4444-8888-acdc00000001,2.179,2.139,2.079,2026-03-12T11:47:34+01:00
00061126-0001-4444-8888-acdc00000001,2.059,1.959,1.909,2026-03-12T07:01:06+01:00
00061131-0001-4444-8888-acdc00000001,2.139,2.059,2.009,2026-03-12T08:51:52+01:00
00061135-0549-4444-8888-acdc00000549,2.079,1.999,1.939,2026-03-12T11:58:47+01:00
00061147-055c-4444-8888-acdc00000001,2.109,2.059,2.039,2026-03-12T11:35:25+01:00
00061156-0001-4444-8888-acdc00000001,2.109,2.029,2.009,2026-03-12T10:51:46+01:00
00061175-0004-4444-8888-acdc00000004,2.029,1.979,1.919,2026-03-12T11:51:41+01:00
00061176-0001-4444-8888-acdc00000001,2.149,2.029,1.979,2026-03-12T11:58:47+01:00
00061178-0555-4444-8888-acdc00000555,2.119,2.049,1.989,2026-03-12T11:53:43+01:00
00061226-0001-4444-8888-acdc00000001,2.099,2.019,1.959,2026-03-12T11:54:44+01:00
00061227-038e-4444-8888-acdc00000002,2.109,2.019,1.959,2026-03-12T11:55:45+01:00
00061230-4894-4444-8888-acdc00000007,2.139,2.079,2.019,2026-03-12T09:52:53+01:00
00061250-0001-4444-8888-acdc00000001,2.169,2.079,2.039,2026-03-12T08:41:38+01:00
00061262-0002-4444-8888-acdc00000002,2.099,2.069,2.009,2026-03-12T10:14:16+01:00
00061264-0009-4444-8888-acdc00000009,2.079,1.969,1.909,2026-03-12T10:19:20+01:00
00061270-533e-75a1-87f9-8a9f00061270,1.999,2.019,1.959,2026-03-12T11:52:42+01:00
00061277-0011-4444-8888-acdc00000011,2.059,2.059,2.009,2026-03-12T11:16:09+01:00
00061287-0001-4444-8888-acdc00000001,2.049,2.059,1.999,2026-03-12T11:55:45+01:00
00061307-0001-4444-8888-acdc00000001,2.169,2.059,1.999,2026-03-11T08:00:25+01:00
00061310-0001-4444-8888-acdc00000001,2.079,2.009,1.949,2026-03-12T11:39:27+01:00
00061314-0031-4444-8888-acdc00000031,2.159,2.109,2.089,2026-03-09T17:21:25+01:00
00061333-0001-4444-8888-acdc00000001,2.109,2.019,1.959,2026-03-12T08:43:39+01:00
00061361-0002-4444-8888-acdcffffffff,2.109,2.039,1.979,2026-03-12T10:39:36+01:00
00061365-0010-4444-8888-acdc00000010,2.059,2.039,1.989,2026-03-12T08:35:33+01:00
00061379-0013-4444-8888-acdc00000013,2.109,2.089,2.029,2026-03-12T11:46:33+01:00
00061383-0006-4444-8888-acdc00000006,2.109,2.049,1.989,2026-03-12T11:50:37+01:00
00061384-0005-4444-8888-acdc00000005,2.049,1.979,1.919,2026-03-12T10:32:31+01:00
00061393-0001-4444-8888-acdc00000001,2.099,2.069,2.009,2026-03-12T10:10:12+01:00
00061394-0003-4444-8888-acdc00000003,2.109,2.079,2.019,2026-03-12T10:11:12+01:00
00061404-f33c-4444-8888-acdc00000001,2.059,1.969,1.919,2026-03-12T00:48:51+01:00
00061406-aa3f-4444-8888-acdc00061406,2.139,2.029,1.999,2026-03-09T16:16:21+01:00
00061407-0004-4444-8888-acdc00000004,2.129,2.049,1.989,2026-03-12T10:24:25+01:00
00061409-0001-4444-8888-acdc00000001,2.069,1.999,1.939,2026-03-12T10:26:27+01:00
00061410-0002-4444-8888-acdc00000002,2.069,1.999,1.939,2026-03-12T10:27:27+01:00
00061419-0561-4444-8888-acdc00000561,2.159,2.079,2.019,2026-03-12T11:18:10+01:00
00061429-b40c-4444-8888-acdc00000010,2.089,1.999,1.969,2026-03-12T11:45:32+01:00
00061431-0002-4444-8888-acdcffffffff,2.149,2.069,2.009,2026-03-09T14:04:18+01:00
00061445-0020-4444-8888-acdcffffffff,2.139,2.069,2.069,2026-03-10T17:18:25+01:00
00061467-0010-4444-8888-acdcffffffff,2.109,2.019,1.959,2026-03-12T07:22:26+01:00
00061477-0001-4444-8888-acdc00000001,2.099,2.069,2.009,2026-03-12T09:36:34+01:00
00061487-0551-4444-8888-acdc00000551,2.109,2.039,1.979,2026-03-12T11:52:42+01:00
00061503-0554-4444-8888-acdc00000554,2.109,2.039,1.979,2026-03-12T11:52:42+01:00
00061504-0552-4444-8888-acdc00000552,2.109,2.039,1.979,2026-03-12T11:53:43+01:00
00061505-0553-4444-8888-acdc00000553,2.119,2.049,1.989,2026-03-12T11:52:42+01:00
00061525-50d3-3bb7-eaef-e90f00061525,2.089,1.999,1.949,2026-03-12T11:41:28+01:00
00061529-0001-4444-8888-acdc00000001,2.059,1.999,1.939,2026-03-12T11:37:26+01:00
00061532-06d0-4444-8888-acdc00000001,2.079,1.999,1.939,2026-03-12T08:57:56+01:00
00061543-0515-4444-8888-acdc00000515,2.129,2.039,1.979,2026-03-12T11:47:34+01:00
00061555-0001-4444-8888-acdc00000001,2.109,2.029,1.999,2026-03-12T08:18:17+01:00
00061561-0011-4444-8888-acdc00000011,2.069,1.979,1.939,2026-03-12T10:57:53+01:00
00061570-0001-4444-8888-acdc00000001,2.109,2.079,2.029,2026-03-12T07:26:29+01:00
00061593-0001-4444-8888-acdc00000001,2.084,2.044,1.984,2026-03-12T10:43:39+01:00
00061642-0009-4444-8888-acdc00000009,2.089,1.999,1.969,2026-03-09T13:48:59+01:00
00061649-b2da-4444-8888-acdc00000001,2.069,1.999,1.939,2026-03-12T11:16:09+01:00
00061651-0001-4444-8888-acdc00000001,2.068,2.008,1.968,2026-03-11T19:44:45+01:00
00061699-0069-4444-8888-acdc00000069,2.059,2.029,1.989,2026-03-12T11:48:35+01:00
00061769-349c-4444-8888-acdc00000012,2.109,1.999,1.939,2026-03-12T11:11:02+01:00
00061777-7224-4444-8888-acdc00000001,2.050,1.950,1.930,2026-03-10T18:03:10+01:00
00061796-1231-4444-8888-acdc00001231,2.039,1.989,1.929,2026-03-12T11:29:20+01:00
00061805-0008-4444-8888-acdc00000008,2.039,2.029,1.969,2026-03-12T11:42:29+01:00
00061870-3358-4444-8888-acdc00000003,2.134,2.104,2.049,2026-03-12T07:23:27+01:00
00061900-a603-4444-8888-acdc00000001,2.079,1.999,1.969,2026-03-10T14:48:05+01:00
00061903-357e-4444-8888-acdc00000001,2.069,1.979,1.919,2026-03-12T11:59:48+01:00
00061910-0010-4444-8888-acdc00000010,2.089,1.999,1.969,2026-03-12T07:50:48+01:00
00061950-0001-4444-8888-acdc00000001,2.109,2.009,1.959,2026-03-12T11:55:45+01:00
00061958-53cf-4444-8888-acdc00000001,2.149,2.059,1.999,2026-03-09T16:25:29+01:00
00061969-105e-4444-8888-acdc00000001,2.009,2.039,1.979,2026-03-12T11:24:15+01:00
00062000-0001-4444-8888-acdc00000001,2.089,2.039,1.999,2026-03-12T10:30:29+01:00
00062256-2144-4444-8888-acdc00000001,2.069,1.989,1.959,2026-03-11T12:28:13+01:00
00062261-0001-4444-8888-acdc00000001,2.079,1.999,1.939,2026-03-12T09:59:58+01:00
00062322-0003-4444-8888-acdc00000003,2.139,2.079,2.039,2026-03-12T07:59:54+01:00
00062326-efe3-4444-8888-acdc00000001,2.109,2.049,2.019,2026-03-11T17:32:46+01:00
00062345-b3f5-4444-8888-acdc00000002,2.119,2.029,1.969,2026-03-12T11:33:23+01:00
00062350-c57c-4444-8888-acdc00000011,2.089,1.999,1.969,2026-03-12T07:39:39+01:00
00062355-0531-4444-8888-acdc00000531,2.119,2.069,2.029,2026-03-12T10:17:18+01:00
00062356-0545-4444-8888-acdc00000545,2.119,2.079,2.039,2026-03-12T09:59:58+01:00
00062357-0530-4444-8888-acdc00000530,2.119,2.069,2.029,2026-03-12T10:17:18+01:00
00062375-533e-75a1-87f9-8a9f00062375,2.079,2.019,1.959,2026-03-12T11:24:15+01:00
00062377-a3b1-4444-8888-acdc00000018,2.109,2.029,1.969,2026-03-12T11:45:32+01:00
00062379-5286-4444-8888-acdc00062379,2.079,2.009,1.949,2026-03-12T11:48:35+01:00
00062418-50d3-3bb7-eaef-e90f00062418,2.079,1.979,1.959,2026-03-12T09:01:59+01:00
00062419-533e-75a1-87f9-8a9f00062419,2.069,1.969,1.949,2026-03-12T09:01:59+01:00
00062482-e7a2-4444-8888-acdc00000005,2.109,2.049,2.009,2026-03-10T09:05:41+01:00
00062521-944b-4444-8888-acdc00000019,2.079,1.969,1.909,2026-03-12T10:19:20+01:00
00062535-8ce6-4444-8888-acdc00000002,2.144,2.084,2.054,2026-03-12T11:20:12+01:00
00062571-1f48-4444-8888-acdc00000001,2.149,2.049,1.989,2026-03-12T07:41:40+01:00
00062573-533e-75a1-87f9-8a9f00062573,2.079,2.049,1.989,2026-03-12T11:33:23+01:00
00062600-9d51-4444-8888-acdc00000035,2.099,2.049,1.989,2026-03-12T10:23:23+01:00
00062601-eb0d-4444-8888-acdc00062601,2.109,1.999,1.939,2026-03-12T11:05:58+01:00
00062607-0001-4444-8888-acdc00000001,2.129,2.059,2.029,2026-03-11T06:14:58+01:00
00062619-9d3b-4444-8888-acdc00000003,2.129,2.059,1.999,2026-03-12T11:49:35+01:00
00062652-734d-4444-8888-acdc00000001,2.048,1.998,1.968,2026-03-12T09:36:34+01:00
00062655-0001-4444-8888-acdc00000002,2.089,1.999,1.949,2026-03-11T17:28:39+01:00
00062662-533e-e667-5a18-7f9800062662,2.079,1.969,1.909,2026-03-12T10:19:20+01:00
00062671-d373-4444-8888-acdc00000001,2.109,2.059,1.999,2026-03-12T11:59:48+01:00
00062673-4de7-4444-8888-acdc00000020,2.179,2.089,2.039,2026-03-12T10:21:22+01:00
00062734-6039-4444-8888-acdc00000006,2.089,2.039,1.999,2026-03-10T09:05:41+01:00
00062792-533e-e667-5a18-7f9800062792,2.179,2.139,2.079,2026-03-12T11:36:25+01:00
00062812-0541-4444-8888-acdc00000541,2.119,2.069,2.029,2026-03-12T10:17:18+01:00
00062899-533e-e667-5a18-7f9800062899,2.099,2.029,1.989,2026-03-12T10:09:11+01:00
00062924-2cfc-4444-8888-acdc00000070,2.089,1.999,1.939,2026-03-12T11:48:35+01:00
00062946-c91f-4444-8888-acdc00000004,2.079,1.999,1.939,2026-03-12T11:20:12+01:00
00062953-43e7-4444-8888-acdc00000073,2.049,1.989,1.949,2026-03-12T11:53:43+01:00
00062955-0012-4444-8888-acdcffffffff,2.149,2.069,2.009,2026-03-09T14:02:16+01:00
00062956-0001-4444-8888-acdc00000001,2.139,2.049,1.989,2026-03-09T14:21:32+01:00
00063002-08b1-4444-8888-acdc00000002,2.069,1.999,1.939,2026-03-12T11:26:16+01:00
00063080-a9f2-6a31-e44d-d77300063080,2.079,2.029,1.969,2026-03-12T10:48:43+01:00
00063087-4f68-4444-8888-acdc00000074,2.029,1.999,1.949,2026-03-12T11:50:37+01:00
00063089-72f1-4444-8888-acdc00000075,2.049,1.979,1.929,2026-03-12T11:53:43+01:00
00063192-533e-e667-5a18-7f9800063192,2.149,2.069,2.039,2026-03-12T11:15:08+01:00
00065001-0002-4444-8888-acdc00000002,2.099,2.009,1.959,2026-03-11T10:55:50+01:00
00065002-0005-4444-8888-acdc00000005,2.099,2.009,1.959,2026-03-11T11:15:09+01:00
0006d4f6-a88d-473e-a8b1-b1f49b35eec0,2.109,2.019,1.959,2026-03-12T10:36:34+01:00
00094444-a5ba-4444-8888-acdc00000944,1.999,1.989,1.899,2026-03-10T11:07:38+01:00
00099960-0004-4444-8888-acdc00000004,2.099,2.049,1.989,2026-03-12T11:54:44+01:00
00099999-1e25-4444-8888-acdc00061844,2.099,2.019,1.979,2026-03-10T15:31:44+01:00
00099999-8026-4444-8888-acdc00008026,2.119,2.039,1.979,2026-03-12T11:03:57+01:00
00099999-99e7-4444-8888-acdc00000076,2.029,1.939,1.889,2026-03-12T11:49:35+01:00
00099999-de69-4444-8888-acdc00000077,2.089,1.979,1.919,2026-03-12T11:49:35+01:00
000a5e14-552f-42fb-b3b0-2f005ccca133,2.109,2.009,1.949,2026-03-12T11:36:25+01:00
000c1937-1d9d-4cf5-8b32-b4960a037c2f,2.029,1.999,1.939,2026-03-12T11:12:04+01:00
000e5864-eb6e-47f7-825f-9a655d83b0d0,2.099,2.019,1.959,2026-03-12T10:47:43+01:00
0014c75b-2b35-4fad-b162-8b3fb9125cd2,2.119,2.039,1.979,2026-03-12T11:31:21+01:00
0018c07b-6aa8-475d-974b-f4e373621b2e,2.119,2.089,2.029,2026-03-12T11:51:41+01:00
00196cba-89f0-4577-1e2c-8d450806aab2,2.049,2.059,2.039,2026-03-12T11:48:35+01:00
001975cc-d534-4819-ab35-8e88848c3096,2.099,2.039,1.979,2026-03-12T11:50:37+01:00
